City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
195,Sobolevo,RU,1/23/2022 21:40,54.4299,31.8996,-0.8,100,99,4.99
196,Leh,IN,1/23/2022 21:40,34.1667,77.5833,6.98,97,100,1.79
197,Souillac,MU,1/23/2022 21:40,-20.5167,57.5167,79.36,89,40,2.3
198,Riyadh,SA,1/23/2022 21:40,24.6877,46.7219,53.74,29,3,8.39
199,Pimenta Bueno,BR,1/23/2022 21:40,-11.6725,-61.1936,79.75,86,75,2.06
200,Port Macquarie,AU,1/23/2022 21:37,-31.4333,152.9167,72.9,83,92,7.92
201,Bam,IR,1/23/2022 21:41,29.106,58.357,43.2,33,0,2.62
202,Ilulissat,GL,1/23/2022 21:41,69.2167,-51.1,14.02,57,100,13.8
203,Dickinson,US,1/23/2022 21:41,29.4608,-95.0513,62.19,45,20,3
204,Caravelas,BR,1/23/2022 21:41,-17.7125,-39.2481,76.17,81,37,4.38
205,Guane,CU,1/23/2022 21:41,22.2025,-84.0875,73.13,71,75,12.5
206,Weinan,CN,1/23/2022 21:41,34.5036,109.5089,31.69,98,100,2.44
207,Varnamo,SE,1/23/2022 21:41,57.186,14.04,42.76,96,78,3
208,Upernavik,GL,1/23/2022 21:41,72.7868,-56.1549,-13.36,62,2,5.66
209,Harper,LR,1/23/2022 21:41,4.375,-7.7169,78.8,84,0,7.76
210,Constitucion,CL,1/23/2022 21:41,-35.3333,-72.4167,65.84,68,0,20.31
211,Pizarro,CO,1/23/2022 21:41,4.9533,-77.366,80.1,82,99,4.88
212,Rovaniemi,FI,1/23/2022 21:41,66.5,25.7167,36.81,93,0,18.41
213,Tiksi,RU,1/23/2022 21:41,71.6872,128.8694,-6.38,100,100,3.36
214,Yurginskoye,RU,1/23/2022 21:41,56.8189,67.3921,2.16,94,96,5.35
215,Coihaique,CL,1/23/2022 21:37,-45.5752,-72.0662,59.61,51,75,9.22
216,Tasiilaq,GL,1/23/2022 21:41,65.6145,-37.6368,17.76,49,45,11.48
217,Tecpan,GT,1/23/2022 21:41,14.7623,-90.9947,72.36,59,45,5.37
218,Mizdah,LY,1/23/2022 21:41,31.4451,12.9801,48.56,67,98,6.67
219,Kendari,ID,1/23/2022 21:41,-3.945,122.4989,74.44,94,92,3.29
220,Brighton,GB,1/23/2022 21:40,50.8284,-0.1395,43.02,85,100,7
221,Kysyl-Syr,RU,1/23/2022 21:41,63.8986,122.7617,-13.59,99,91,4.25
222,Severo-Yeniseyskiy,RU,1/23/2022 21:41,60.3725,93.0408,-9.26,100,98,3.02
223,Ligayan,PH,1/23/2022 21:41,4.6533,119.4706,81.05,80,82,11.95
224,Sande,DE,1/23/2022 21:41,53.5049,8.0142,43.02,79,7,6.6
225,Cherskiy,RU,1/23/2022 21:41,68.75,161.3,-31.56,96,100,4.21
226,Hambantota,LK,1/23/2022 21:41,6.1241,81.1185,71.94,100,20,3.44
227,Ugoofaaru,MV,1/23/2022 21:41,5.6667,73,81.18,60,86,9.78
228,Nichinan,JP,1/23/2022 21:41,31.6,131.3667,53.87,89,96,16.13
229,Ngunguru,NZ,1/23/2022 21:42,-35.6167,174.5,68.16,83,100,13.87
230,Weyburn,CA,1/23/2022 21:42,49.6668,-103.8511,35.82,80,100,24.16
231,Rio Gallegos,AR,1/23/2022 21:42,-51.6226,-69.2181,59.05,47,75,19.57
232,Korla,CN,1/23/2022 21:42,41.7597,86.1469,23.79,58,100,1.03
233,Sao Jose Da Coroa Grande,BR,1/23/2022 21:42,-8.8978,-35.1478,80.51,70,38,12.41
234,Samarai,PG,1/23/2022 21:42,-10.6167,150.6667,83.26,76,72,11.23
235,Whitehorse,CA,1/23/2022 21:42,60.7161,-135.0538,34.57,64,75,3.44
236,Nabire,ID,1/23/2022 21:42,-3.3667,135.4833,77.49,89,99,1.07
237,Mana,GF,1/23/2022 21:42,5.6592,-53.7767,76.26,86,39,9.17
238,Hailar,CN,1/23/2022 21:42,49.2,119.7,-8.36,97,100,3.15
239,Inuvik,CA,1/23/2022 21:42,68.3499,-133.7218,2.41,82,75,2.3
240,Tobermory,CA,1/23/2022 21:42,45.2501,-81.6665,7.3,66,11,11.65
241,Georgiyevka,KZ,1/23/2022 21:42,43.0369,74.7114,30.24,93,75,4.47
242,Campbell River,CA,1/23/2022 21:42,50.0163,-125.2446,38.59,100,100,4.61
243,Herzogenburg,AT,1/23/2022 21:42,48.2905,15.7314,39.87,94,100,5.26
244,Beloha,MG,1/23/2022 21:42,-25.1667,45.05,73.99,82,95,19.46
245,Yellowknife,CA,1/23/2022 21:38,62.456,-114.3525,-15.59,76,40,6.91
246,Pangody,RU,1/23/2022 21:42,65.85,74.4859,-10.1,100,99,7.09
247,Sambava,MG,1/23/2022 21:42,-14.2667,50.1667,74.88,90,94,5.46
248,Sinjar,IQ,1/23/2022 21:42,36.3209,41.8754,38.37,63,97,10.07
249,Fairbanks,US,1/23/2022 21:38,64.8378,-147.7164,12.6,86,0,4.61
250,Beirut,LB,1/23/2022 21:37,33.8889,35.4944,50.74,58,75,3.44
251,Khatanga,RU,1/23/2022 21:42,71.9667,102.5,-21.23,100,100,3.2
252,Vyazemskiy,RU,1/23/2022 21:42,47.5378,134.7525,-16.22,100,71,2.59
253,Mahebourg,MU,1/23/2022 21:42,-20.4081,57.7,79.25,89,40,2.3
254,Paamiut,GL,1/23/2022 21:42,61.994,-49.6678,22.8,72,100,14.83
255,Salalah,OM,1/23/2022 21:42,17.0151,54.0924,69.89,19,0,11.5
256,Vinukonda,IN,1/23/2022 21:42,16.05,79.75,69.3,85,70,2.73
257,Port Elizabeth,ZA,1/23/2022 21:42,-33.918,25.5701,73.09,88,0,4.61
258,Clyde River,CA,1/23/2022 21:41,70.4692,-68.5914,-7.37,77,100,27.63
259,Bilimbay,RU,1/23/2022 21:42,56.9689,59.8149,-3.06,97,100,1.77
260,Urucara,BR,1/23/2022 21:42,-2.5364,-57.76,76.05,94,98,0.74
261,Hualmay,PE,1/23/2022 21:42,-11.0964,-77.6139,74.7,78,78,9.89
262,Etchoropo,MX,1/23/2022 21:42,26.7667,-109.6667,75.42,53,54,11.27
263,Waipawa,NZ,1/23/2022 21:42,-41.4122,175.5153,66.94,85,100,8.34
264,Sawankhalok,TH,1/23/2022 21:42,17.316,99.8319,67.78,47,6,4.23
265,Los Llanos De Aridane,ES,1/23/2022 21:42,28.6585,-17.9182,64.15,94,75,1.01
266,Sakaiminato,JP,1/23/2022 21:42,35.55,133.2333,42.78,70,75,14.97
267,Laibin,CN,1/23/2022 21:42,23.7,109.2667,53.96,83,100,10.04
268,Flinders,AU,1/23/2022 21:42,-34.5833,150.8552,70.38,87,98,4
269,Mayo,US,1/23/2022 21:42,38.8876,-76.5119,39.18,62,100,1.01
270,Iwanai,JP,1/23/2022 21:42,42.9744,140.5089,23.54,91,99,4.25
271,Hede,CN,1/23/2022 21:42,33.7681,120.2517,35.1,78,100,10.11
272,Shache,CN,1/23/2022 21:42,38.4167,77.2406,25.74,46,100,2.71
273,Tooele,US,1/23/2022 21:41,40.5308,-112.2983,40.08,80,0,5.75
274,Kawalu,ID,1/23/2022 21:43,-7.3817,108.2082,72.19,96,91,1.66
275,Hofn,IS,1/23/2022 21:43,64.2539,-15.2082,33.53,51,16,10.27
276,Ilheus,BR,1/23/2022 21:41,-14.7889,-39.0494,84.02,70,20,9.22
277,Goderich,CA,1/23/2022 21:43,43.7501,-81.7165,15.91,67,73,11.5
278,Cabatuan,PH,1/23/2022 21:43,10.8794,122.486,74.32,91,92,9.75
279,Capanema,BR,1/23/2022 21:43,-1.1958,-47.1808,75.9,92,76,4.61
280,Morbach,DE,1/23/2022 21:43,49.8167,7.1167,37.99,82,75,8.05
281,Luanda,AO,1/23/2022 21:43,-8.8368,13.2343,75.69,83,89,10.29
282,Sisimiut,GL,1/23/2022 21:43,66.9395,-53.6735,16.16,76,100,16.58
283,Christchurch,NZ,1/23/2022 21:43,-43.5333,172.6333,62.02,84,100,1.99
284,Voh,NC,1/23/2022 21:43,-20.9667,164.7,83.03,65,24,4.05
